Region,Location,date,year,Ave_INI,SD_INI,Ave_PF,SD_PF,Num_INI
Oceanic Northeast Atlantic,Azores,10/10/2008,2008,13.06166667,0.145002988,22.13333333,0.981155781,6
Oceanic Northeast Atlantic,Azores,12/10/2008,2008,12.73953488,0.317701668,22.31162791,1.199049088,43
Oceanic Northeast Atlantic,Azores,17/10/2008,2008,12.96471875,0.75834545,22.3375,1.784114491,32
Oceanic Northeast Atlantic,Azores,18/10/2008,2008,12.85619149,0.282251094,21.68085106,1.640604117,47
Oceanic Northeast Atlantic,Azores,23/10/2008,2008,12.88536,0.328105786,22.016,0.815311801,25
Oceanic Northeast Atlantic,Azores,25/10/2008,2008,12.99728571,0.251812637,22.29285714,1.656903639,14
Oceanic Northeast Atlantic,Azores,27/10/2008,2008,12.948875,0.1353223,23.1875,1.624313042,8
Oceanic Northeast Atlantic,Azores,31/10/2008,2008,13.45321739,0.164959212,22.74347826,1.099101322,23
Oceanic Northeast Atlantic,Azores,03/11/2008,2008,13.21452941,0.206450393,21.49411765,0.689629056,17
Oceanic Northeast Atlantic,Azores,09/11/2008,2008,12.8879,0.107555102,21.69,0.600832755,10
Oceanic Northeast Atlantic,Azores,25/11/2008,2008,13.14296552,0.367448813,21.77586207,1.494940044,58
Oceanic Northeast Atlantic,Azores,29/11/2008,2008,13.2186875,0.17069494,22.33125,0.973460323,16
Oceanic Northeast Atlantic,Azores,05/12/2008,2008,12.98072973,0.229802409,21.17027027,0.930909014,37
Oceanic Northeast Atlantic,Azores,07/12/2008,2008,12.981,0.155852494,20.75,0.957427108,4
Oceanic Northeast Atlantic,Azores,09/12/2008,2008,13.11548718,0.694522704,22.71111111,1.522009662,117
Oceanic Northeast Atlantic,Azores,16/12/2008,2008,13.25504762,0.216420534,21.60952381,1.752399715,21
Oceanic Northeast Atlantic,Azores,18/12/2008,2008,13.32983333,0.249845886,23.6,2.513165335,6
Oceanic Northeast Atlantic,Azores,02/10/2009,2009,12.9655,0.143374634,22.45,1.639686381,8
Oceanic Northeast Atlantic,Azores,04/10/2009,2009,13.08991304,0.219326384,21.72956522,1.42625592,115
Oceanic Northeast Atlantic,Azores,20/10/2009,2009,13.49121053,0.380126233,22.24736842,1.465669517,19
Oceanic Northeast Atlantic,Azores,29/10/2009,2009,13.390125,0.243924598,21.0625,0.715609373,32
Oceanic Northeast Atlantic,Azores,12/10/2010,2010,13.2048,0.076754153,21.5,1,5
Oceanic Northeast Atlantic,Azores,27/10/2010,2010,13.80557692,0.289278437,22.04615385,2.238969543,26
Oceanic Northeast Atlantic,Azores,30/10/2010,2010,13.422,0.14752288,20.62857143,1.54349634,7
Oceanic Northeast Atlantic,Azores,01/11/2010,2010,13.532,0.333927027,20.82142857,0.772373515,28
Oceanic Northeast Atlantic,Azores,04/11/2010,2010,13.4954,0.218700961,22.49666667,1.258209821,30
Oceanic Northeast Atlantic,Azores,06/11/2010,2010,13.67325,0.374411567,21.85833333,1.182450171,24
Oceanic Northeast Atlantic,Azores,21/11/2010,2010,13.74909091,1.106365315,21.63939394,1.252482384,33
Oceanic Northeast Atlantic,Azores,24/11/2010,2010,13.80844444,0.195924163,22.04444444,1.393835635,9
Oceanic Northeast Atlantic,Azores,28/11/2010,2010,13.7038,0.182935553,21.868,1.563841424,25
Oceanic Northeast Atlantic,Azores,30/11/2010,2010,13.9481,0.364572947,22.34,2.081772749,10
Oceanic Northeast Atlantic,Azores,01/12/2010,2010,13.65241379,0.275602265,21.68275862,1.410437867,29
Oceanic Northeast Atlantic,Azores,03/12/2010,2010,13.63304762,0.233879986,21.16666667,1.016530045,21
Oceanic Northeast Atlantic,Azores,09/12/2010,2010,13.91258333,0.27802631,21.13333333,1.829720959,12
Oceanic Northeast Atlantic,Azores,14/12/2010,2010,14.00688889,0.267344653,21.71666667,0.987122973,18
Oceanic Northeast Atlantic,Azores,17/12/2010,2010,13.63688571,0.310717459,22.93714286,1.338147471,35
Oceanic Northeast Atlantic,Azores,23/12/2010,2010,13.51792,0.31838565,21.746,1.150369949,50
Oceanic Northeast Atlantic,Azores,26/12/2010,2010,13.64266667,0.122909181,21.16666667,0.516397779,6
Oceanic Northeast Atlantic,Azores,29/12/2010,2010,13.60764444,0.253374871,21.33333333,1.321156518,45
Oceanic Northeast Atlantic,Azores,03/01/2011,2011,13.6144,0.168311467,21.204,1.508995251,25
Oceanic Northeast Atlantic,Azores,05/01/2011,2011,13.83258824,0.289528293,21.79411765,0.587867532,17
Oceanic Northeast Atlantic,Azores,07/01/2011,2011,13.77417073,0.230352484,21.59634146,1.250920167,82
Oceanic Northeast Atlantic,Azores,09/01/2011,2011,14.1365,0.261654671,21.48,2.221510997,10
Oceanic Northeast Atlantic,Azores,11/01/2011,2011,14.037675,0.24066131,21.2725,0.967944558,40
Oceanic Northeast Atlantic,Azores,24/01/2011,2011,13.74427273,0.153777171,21.85454545,0.907043148,11
Oceanic Northeast Atlantic,Azores,26/01/2011,2011,13.87094737,0.211639755,21.49473684,0.93123197,19
Oceanic Northeast Atlantic,Azores,30/01/2011,2011,13.91208333,0.224752795,21.65833333,1.115470915,24
Oceanic Northeast Atlantic,Azores,06/02/2011,2011,13.66422222,0.245955676,22.05555556,0.527046277,9
Oceanic Northeast Atlantic,Azores,11/02/2011,2011,13.88381481,0.210502702,22.12962963,1.600436194,27
Oceanic Northeast Atlantic,Azores,13/02/2011,2011,13.65355556,0.39677264,21.27777778,0.440958552,9
Oceanic Northeast Atlantic,Azores,27/10/2011,2011,13.94336111,0.167314444,22.28611111,1.160333149,36
Oceanic Northeast Atlantic,Azores,08/11/2011,2011,13.76760345,0.177895291,22.11896552,1.163699017,58
Oceanic Northeast Atlantic,Azores,20/11/2011,2011,14.27883333,0.864705397,21.975,0.859307332,12
Oceanic Northeast Atlantic,Azores,01/12/2011,2011,13.83649573,0.181465805,23.46666667,0.721110255,117
Oceanic Northeast Atlantic,Azores,06/12/2011,2011,14.21084375,0.226874572,23.4,4.84E-07,32
Oceanic Northeast Atlantic,Azores,12/12/2011,2011,14.57445455,0.195295998,23.4,0,88
Oceanic Northeast Atlantic,Azores,19/12/2011,2011,13.52928571,0.18470993,23.4,0,14
Oceanic Northeast Atlantic,Azores,03/01/2012,2012,14.07897727,0.18127385,22.19090909,1.10344454,44
Oceanic Northeast Atlantic,Azores,06/01/2012,2012,14.26255882,0.454911058,22.11029412,1.071494939,68
