Region,location,date,month,year,year2,Peak_Freq 
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,17/02/2007,Feb-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,125
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,128.9
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Icelandic Waters,Iceland,11/03/2007,Mar-07,2007,2006/2007,132.8
Oceanic Northeast Atlantic,Azores,12/10/2008,Oct-08,2008,2008/2009,131.8
Oceanic Northeast Atlantic,Azores,12/10/2008,Oct-08,2008,2008/2009,133.8
