Region,location,date,year,Ave_PF,SD_PF,Num_note
Icelandic Waters,Iceland,17/02/2007,2007,130.9734177,1.958525666,79
Icelandic Waters,Iceland,11/03/2007,2007,131.0233333,2.038784062,90
Greenland Sea,SE_Greenland,13/10/2007,2007,131.66125,1.283518528,160
Greenland Sea,SE_Greenland,21/10/2007,2007,130.7238095,2.450286669,21
Greenland Sea,SE_Greenland,24/10/2007,2007,131.2950617,0.945767048,81
Greenland Sea,SE_Greenland,31/10/2007,2007,131.2171717,1.241710506,99
Greenland Sea,SE_Greenland,08/11/2007,2007,130.8742857,1.008123225,140
Greenland Sea,SE_Greenland,04/12/2007,2007,131.5169903,1.046924728,206
Greenland Sea,SE_Greenland,12/12/2007,2007,131.4278571,0.945850614,280
Greenland Sea,SE_Greenland,28/12/2007,2007,131.1571429,0.811487245,168
Greenland Sea,SE_Greenland,05/01/2008,2008,131.972,1.254830666,25
Greenland Sea,SE_Greenland,12/01/2008,2008,131.1581395,1.078393698,86
Greenland Sea,SE_Greenland,17/01/2008,2008,131.588254,1.086023747,315
Greenland Sea,SE_Greenland,26/01/2008,2008,130.9857143,0.859595317,147
Greenland Sea,SE_Greenland,02/02/2008,2008,131.0014706,1.298850542,68
Greenland Sea,SE_Greenland,16/02/2008,2008,131.7128571,1.294796882,70
Greenland Sea,SE_Greenland,26/02/2008,2008,131.3225806,1.067619155,93
Greenland Sea,SE_Greenland,03/03/2008,2008,131.5272727,1.116451811,55
Greenland Sea,SE_Greenland,07/03/2008,2008,131.5576923,0.921812596,26
Oceanic Northeast Atlantic,Azores,12/10/2008,2008,132.5888889,2.061615,27
Oceanic Northeast Atlantic,Azores,17/10/2008,2008,130.425,1.743976344,44
Oceanic Northeast Atlantic,Azores,23/10/2008,2008,129.3133333,1.691519463,15
Oceanic Northeast Atlantic,Azores,03/11/2008,2008,131.725,1.192206837,36
Oceanic Northeast Atlantic,Azores,25/11/2008,2008,130.6044118,0.917236899,68
Oceanic Northeast Atlantic,Azores,29/11/2008,2008,131.4738095,1.406961702,42
Oceanic Northeast Atlantic,Azores,05/12/2008,2008,130.7972603,0.964505141,73
Oceanic Northeast Atlantic,Azores,07/12/2008,2008,130.488,0.841288694,25
Oceanic Northeast Atlantic,Azores,09/12/2008,2008,131.2363636,0.906422272,110
Oceanic Northeast Atlantic,Azores,16/12/2008,2008,130.948,0.871359092,25
Oceanic Northeast Atlantic,Azores,02/10/2009,2009,130.875,0.776208735,4
Oceanic Northeast Atlantic,Azores,04/10/2009,2009,130.3204819,1.126375477,83
Oceanic Northeast Atlantic,Azores,29/10/2009,2009,131.2902439,0.699215588,41
Oceanic Northeast Atlantic,Azores,26/10/2010,2010,129.8583333,0.690253052,24
Oceanic Northeast Atlantic,Azores,30/10/2010,2010,129.0666667,0.752772653,6
Oceanic Northeast Atlantic,Azores,04/11/2010,2010,129.6142857,0.788573864,35
Oceanic Northeast Atlantic,Azores,06/11/2010,2010,129.8439024,1.289776876,41
Oceanic Northeast Atlantic,Azores,21/11/2010,2010,130.4433333,1.217879257,30
Oceanic Northeast Atlantic,Azores,24/11/2010,2010,129.8454545,1.853883253,22
Oceanic Northeast Atlantic,Azores,01/12/2010,2010,131.4625,0.871677365,8
Oceanic Northeast Atlantic,Azores,03/12/2010,2010,132.1090909,3.760971828,11
Oceanic Northeast Atlantic,Azores,09/12/2010,2010,130.2352941,3.880067844,17
Oceanic Northeast Atlantic,Azores,14/12/2010,2010,129.79,2.402389162,20
Oceanic Northeast Atlantic,Azores,17/12/2010,2010,129.8368421,1.382403127,38
Oceanic Northeast Atlantic,Azores,23/12/2010,2010,130.2961538,1.11477006,78
Oceanic Northeast Atlantic,Azores,29/12/2010,2010,130.3010101,1.211466892,99
Oceanic Northeast Atlantic,Azores,03/01/2011,2011,130.15,0.5,4
Oceanic Northeast Atlantic,Azores,05/01/2011,2011,129.9909091,0.53935989,11
Oceanic Northeast Atlantic,Azores,07/01/2011,2011,130.9329114,0.953767364,79
Oceanic Northeast Atlantic,Azores,09/01/2011,2011,130.183871,0.889230669,31
Oceanic Northeast Atlantic,Azores,11/01/2011,2011,130.1723684,1.115299504,76
Oceanic Northeast Atlantic,Azores,24/01/2011,2011,129.8,0.875595036,10
Oceanic Northeast Atlantic,Azores,26/01/2011,2011,129.3916667,1.225085031,12
Oceanic Northeast Atlantic,Azores,30/01/2011,2011,129.8555556,0.964099154,27
Oceanic Northeast Atlantic,Azores,11/02/2011,2011,130.1259259,1.122023977,54
Oceanic Northeast Atlantic,Azores,13/02/2011,2011,129.2444444,1.20115685,9
Oceanic Northeast Atlantic,Azores,27/10/2011,2011,129.85,1.213303451,20
Oceanic Northeast Atlantic,Azores,08/11/2011,2011,130.4388889,1.127276201,18
Oceanic Northeast Atlantic,Azores,20/11/2011,2011,130.2166667,1.000832986,6
Oceanic Northeast Atlantic,Azores,01/12/2011,2011,130.5354839,3.599032128,31
Oceanic Northeast Atlantic,Azores,06/12/2011,2011,130.3485714,3.673864084,35
Oceanic Northeast Atlantic,Azores,12/12/2011,2011,130.85,3.389626579,140
Oceanic Northeast Atlantic,Azores,16/12/2011,2011,131.4277778,2.983751428,108
