Region,Location,date,Ave_INI,SD_INI,Ave_PF,SD_PF,Num_INI,Recorder,year
ONA,Azores,06/01/2006,12.86317391,0.162574851,21.74624845,0.760656674,161,AR,2006
ONA,Azores,10/01/2007,13.46109756,0.213347698,21.37753659,0.7690317,41,AR,2007
ONA,Azores,31/01/2007,13.2735,0.231853019,21.71720213,0.444808611,94,AR,2007
Icelandic Waters,Iceland,15/02/2007,12.53958333,0.347476975,45.26666667,2.136544569,48,AR,2007
Icelandic Waters,Iceland,17/02/2007,12.79264706,0.221654504,21.53602941,1.955303246,136,AR,2007
Icelandic Waters,Iceland,11/03/2007,12.50380952,0.224860559,22.21142857,1.803805501,105,AR,2007
Greenland Sea,Greenland,08/10/2007,12.86956522,0.174342355,21.36521739,1.991940282,23,AR,2007
Greenland Sea,Greenland,21/10/2007,13.05510204,0.30690744,21.27142857,0.812147359,49,AR,2007
Greenland Sea,Greenland,24/10/2007,13.06179775,0.149624999,21.26966292,0.912838293,89,AR,2007
Greenland Sea,Greenland,31/10/2007,12.90406504,0.76708928,21.13821138,0.94933284,123,AR,2007
Greenland Sea,Greenland,03/11/2007,12.86829268,0.358624963,21.72560976,1.117626561,82,AR,2007
Greenland Sea,Greenland,08/11/2007,13.02876712,0.195098173,21.49041096,0.857126617,146,AR,2007
Greenland Sea,Greenland,17/11/2007,12.95,0.191741247,21.37222222,1.249378931,18,AR,2007
Greenland Sea,Greenland,01/12/2007,13.05302013,0.284642271,21.09194631,1.026902768,149,AR,2007
SW Iberia,Golfo Cadiz,01/12/2007,13.31147541,0.609398162,20.39344262,0.502616107,61,OBS,2007
Greenland Sea,Greenland,04/12/2007,13.33820598,0.240212623,21.31063123,1.041642901,301,AR,2007
SW Iberia,Golfo Cadiz,11/12/2007,12.88,0.346410162,20.652,0.569444173,25,OBS,2007
Greenland Sea,Greenland,12/12/2007,13.62081911,0.290152318,21.31023891,1.121717866,293,AR,2007
SW Iberia,Golfo Cadiz,21/12/2007,12.64761905,0.280390884,20.83333333,0.730296743,21,OBS,2007
SW Iberia,Golfo Cadiz,25/12/2007,14.21267606,0.782108794,19.99859155,0.81108269,71,OBS,2007
Greenland Sea,Greenland,28/12/2007,13.25296804,0.182811513,21.80593607,0.995407535,219,AR,2007
Greenland Sea,Greenland,05/01/2008,13.41525424,0.246899105,20.93446328,0.926257665,177,AR,2008
SW Iberia,Golfo Cadiz,07/01/2008,13.25671642,0.475529651,20.23880597,1.100544662,67,OBS,2008
SW Iberia,Golfo Cadiz,11/01/2008,13.156,0.711266476,20.524,0.674091982,25,OBS,2008
Greenland Sea,Greenland,12/01/2008,13.42066116,0.259781112,21.68016529,0.981038551,121,AR,2008
ONA,Azores,15/01/2008,13.37977966,0.241974247,21.59670056,0.688290484,177,AR,2008
SW Iberia,Golfo Cadiz,16/01/2008,13.00681818,0.556733717,19.725,0.569832697,44,OBS,2008
Greenland Sea,Greenland,17/01/2008,13.39773585,0.292964482,21.47924528,1.01174139,265,AR,2008
ONA,SE,20/01/2008,13.20586,0.176745438,21.9608,1.03483698,100,AR,2008
SW Iberia,Golfo Cadiz,24/01/2008,13.384,0.338723092,20.156,0.575962962,25,OBS,2008
Greenland Sea,Greenland,26/01/2008,13.19726027,0.273763745,21.10273973,0.989713971,219,AR,2008
SW Iberia,Golfo Cadiz,27/01/2008,13.0034188,0.642856184,20.20683761,0.888889902,117,OBS,2008
SW Iberia,Golfo Cadiz,31/01/2008,13.17391304,0.381644041,20.97826087,0.697369422,23,OBS,2008
Greenland Sea,Greenland,02/02/2008,13.46844444,0.202506124,21.36355556,1.071716654,225,AR,2008
SW Iberia,Golfo Cadiz,03/02/2008,13.26956522,0.357306569,19.52173913,0.319027673,23,OBS,2008
Greenland Sea,Greenland,16/02/2008,13.14183673,0.253195442,21.38469388,1.101203844,98,AR,2008
SW Iberia,Golfo Cadiz,19/02/2008,13.12298137,0.546608686,20.6242236,1.282613367,161,OBS,2008
Greenland Sea,Greenland,22/02/2008,13.52040816,0.280609153,20.7244898,0.984574911,49,AR,2008
SW Iberia,Golfo Cadiz,22/02/2008,13.21176471,0.411033218,20.38235294,0.403372591,34,OBS,2008
Greenland Sea,Greenland,26/02/2008,13.49277108,0.601377105,21.45783133,1.272707933,83,AR,2008
SW Iberia,Golfo Cadiz,29/02/2008,13.46218487,0.366613359,20.20840336,1.004446034,119,OBS,2008
Greenland Sea,Greenland,03/03/2008,13.86103896,0.878718541,22.14155844,0.904426345,77,AR,2008
Greenland Sea,Greenland,07/03/2008,13.95789474,0.343698494,21.18421053,0.749268649,19,AR,2008
Greenland Sea,Greenland,12/03/2008,19.08,2.068539858,21.88,0.786674738,15,AR,2008
