Region,Location,date,Ave_PF,SD_PF,Num_note,Recorder
ONA,SE,11/02/1999,21.1575,0.565190456,160,AR
ONA,SE,19/02/1999,21.64631579,1.277365184,95,AR
ONA,SE,21/02/1999,21.15333333,0.853966291,90,AR
ONA,SE,26/02/1999,21.38358209,0.657035817,67,AR
ONA,SE,02/03/1999,21.62321429,0.834699962,56,AR
ONA,SE,08/03/1999,21.52241379,0.615599295,58,AR
ONA,SE,11/03/1999,21.45555556,0.827194052,81,AR
ONA,SE,13/03/1999,21.31388889,0.554699654,72,AR
ONA,SE,21/10/1999,21.76842105,0.798465612,304,AR
ONA,SE,23/10/1999,21.76581633,0.798912624,196,AR
ONA,SE,27/10/1999,21.52458101,0.819056197,179,AR
ONA,SE,29/10/1999,21.44397163,0.824566448,141,AR
ONA,SE,05/11/1999,22.056875,1.042349902,160,AR
ONA,SE,08/11/1999,21.1,0.498914484,84,AR
ONA,SE,26/11/1999,21.6887931,0.709166265,116,AR
ONA,SE,29/11/1999,22.77735849,1.283468739,106,AR
ONA,SE,09/12/1999,21.66290323,0.68589666,186,AR
ONA,SE,12/12/1999,22.15505618,1.275036007,267,AR
ONA,SE,14/12/1999,20.86666667,0.543600964,84,AR
ONA,SE,30/12/1999,21.35863636,0.725572018,220,AR
ONA,SE,14/01/2000,21.46848249,0.693650635,257,AR
ONA,SE,17/01/2000,21.33714286,0.809470048,105,AR
ONA,SE,22/01/2000,21.50752688,0.71645816,93,AR
ONA,SE,28/01/2000,20.90304183,0.53122919,263,AR
ONA,SE,06/02/2000,21.34361702,0.500872038,94,AR
ONA,SE,11/02/2000,21.58962963,0.675838238,135,AR
ONA,SE,20/02/2000,21.78163265,0.896646752,147,AR
ONA,SE,23/02/2000,21.57849462,0.692640769,186,AR
ONA,SE,01/03/2000,21.45121951,0.868800365,123,AR
ONA,SE,05/03/2000,21.31559633,0.653363706,109,AR
ONA,SE,08/03/2000,21.12697674,0.73243779,215,AR
ONA,SE,17/03/2000,20.85909091,0.449970636,44,AR
ONA,SE,22/10/2000,21.54305556,0.69244959,216,AR
ONA,SE,30/10/2000,22.11395349,1.092322698,215,AR
ONA,SE,06/11/2000,21.27972028,0.743474849,143,AR
ONA,SE,20/11/2000,21.39083969,0.975267252,131,AR
ONA,SE,23/11/2000,21.44146341,0.44276104,82,AR
ONA,SE,28/11/2000,21.22702703,0.905123886,37,AR
ONA,SE,01/12/2000,21.2528,0.715223403,125,AR
ONA,SE,04/12/2000,21.71073826,1.078984817,149,AR
ONA,SE,21/12/2000,21.82264151,0.819788941,106,AR
ONA,SE,30/12/2000,21.37762557,0.772284723,219,AR
ONA,SE,05/01/2001,21.58303571,0.721966472,224,AR
ONA,SE,07/01/2001,22.06515152,0.825085995,66,AR
ONA,SE,23/01/2001,21.22413793,0.682158939,87,AR
ONA,SE,25/01/2001,21.35373134,0.553043469,67,AR
ONA,SE,07/02/2001,21.13552124,0.550028909,259,AR
ONA,SE,14/02/2001,21.31707317,0.821141163,82,AR
ONA,SE,16/02/2001,20.88440367,0.64738424,109,AR
ONA,SE,20/02/2001,21.29139785,0.599031086,93,AR
ONA,SE,03/03/2001,21.46912752,0.970225617,149,AR
ONA,SE,18/03/2001,21.70229885,0.946717341,87,AR
ONA,SE,26/03/2001,21.3890625,1.009182789,64,AR
ONA,SE,29/03/2001,21.34537815,0.641469169,119,AR
ONA,CE,01/10/2002,21.50955056,0.930687626,178,AR
ONA,NE,01/10/2002,21.20324324,0.860352727,185,AR
ONA,NW,06/10/2002,22.08717949,1.458193062,78,AR
ONA,CW,09/10/2002,21.48135593,0.836551743,59,AR
ONA,NW,12/10/2002,21.47058824,0.797165209,34,AR
ONA,CE,15/10/2002,21.4487395,0.948671287,119,AR
ONA,CW,17/10/2002,21.03333333,0.6780129,135,AR
ONA,NW,17/10/2002,21.38039216,0.785880298,51,AR
ONA,CW,22/10/2002,21.72615385,1.313425498,65,AR
ONA,SE,23/10/2002,21.5475,0.833191183,160,AR
ONA,NE,25/10/2002,21.21190476,0.864619808,84,AR
ONA,NW,28/10/2002,21.55714286,0.884504444,175,AR
ONA,NE,29/10/2002,21.34913793,0.663585393,232,AR
ONA,CE,30/10/2002,21.0972973,0.867629968,148,AR
ONA,CW,30/10/2002,21.26233766,0.84667134,77,AR
ONA,NE,31/10/2002,21.18676471,1.013035104,68,AR
ONA,CE,02/11/2002,21.34980989,0.784188915,263,AR
ONA,CW,02/11/2002,21.44188482,0.963177093,191,AR
ONA,NE,10/11/2002,21.13333333,0.881164918,63,AR
ONA,NW,10/11/2002,21.37070313,0.992778382,256,AR
ONA,CE,11/11/2002,21.23037037,0.803097927,135,AR
ONA,SE,12/11/2002,22.09587629,1.210967031,97,AR
ONA,NE,13/11/2002,21.28172589,0.754625915,197,AR
ONA,CW,16/11/2002,21.18181818,1.09814792,231,AR
ONA,SE,17/11/2002,22.27365854,1.2184001,205,AR
ONA,NW,19/11/2002,21.24130435,0.832876316,138,AR
ONA,SE,19/11/2002,21.41742424,0.886669402,132,AR
ONA,NE,20/11/2002,21.5275,0.904701209,160,AR
ONA,NW,23/11/2002,21.175,0.883329084,112,AR
ONA,CE,24/11/2002,21.38032787,0.792072221,122,AR
ONA,CW,25/11/2002,20.99125,0.709449915,160,AR
ONA,NE,28/11/2002,21.44545455,0.968204895,44,AR
ONA,CE,30/11/2002,21.44567901,0.867474695,81,AR
ONA,CW,30/11/2002,21.54573171,1.223258778,164,AR
ONA,NE,01/12/2002,21.61515152,0.837256036,66,AR
ONA,NE,02/12/2002,21.52601626,1.013097619,123,AR
ONA,NW,04/12/2002,21.0620438,0.726204009,137,AR
ONA,CE,05/12/2002,21.35614035,0.966156063,114,AR
ONA,CW,05/12/2002,21.66,0.843965507,145,AR
ONA,NE,05/12/2002,21.24915254,0.814995723,177,AR
ONA,NW,08/12/2002,21.18619048,1.062203975,210,AR
ONA,SE,08/12/2002,21.47876448,0.945477207,259,AR
ONA,CW,11/12/2002,21.29647059,0.888477437,85,AR
ONA,CE,12/12/2002,21.49468085,0.877815351,188,AR
ONA,CW,14/12/2002,21.37021277,0.840101093,94,AR
ONA,SE,14/12/2002,21.98053097,0.981876702,113,AR
ONA,NW,15/12/2002,21.45652174,0.765383797,115,AR
ONA,NE,19/12/2002,20.94615385,0.54765016,195,AR
ONA,CW,23/12/2002,21.15138889,0.838004514,72,AR
ONA,SW,24/12/2002,21.57,0.855210276,40,AR
ONA,SE,26/12/2002,21.97757009,1.423807572,107,AR
ONA,SE,28/12/2002,21.88066914,1.030286657,269,AR
ONA,CE,30/12/2002,21.00792079,0.818101572,202,AR
ONA,NW,31/12/2002,21.091875,0.789791141,160,AR
ONA,SW,01/01/2003,21.18793103,0.745531151,58,AR
ONA,NW,02/01/2003,21.45581395,1.119412099,86,AR
ONA,NE,03/01/2003,21.30708661,0.963309532,127,AR
ONA,NW,04/01/2003,21.49555556,0.868895735,45,AR
ONA,SW,04/01/2003,22.05263158,1.361854345,95,AR
ONA,CW,05/01/2003,21.17959184,0.825612166,147,AR
ONA,CW,07/01/2003,21.37590361,0.836308725,83,AR
ONA,NE,07/01/2003,21.3472973,0.875108287,74,AR
ONA,SW,09/01/2003,21.43964286,1.308655996,280,AR
ONA,CE,10/01/2003,21.19390244,0.744750776,82,AR
ONA,NE,14/01/2003,21.17115385,0.785632276,104,AR
ONA,CE,15/01/2003,21.36470588,0.860450305,136,AR
ONA,CW,16/01/2003,21.45681818,0.838136171,132,AR
ONA,SE,17/01/2003,21.16111111,0.785239966,198,AR
ONA,NW,18/01/2003,20.70754717,0.743135006,53,AR
ONA,SE,19/01/2003,21.28431373,0.752914482,102,AR
ONA,NE,23/01/2003,21.36752137,0.947758614,117,AR
ONA,SE,23/01/2003,21.58823529,0.979195348,136,AR
ONA,CE,24/01/2003,21.31028571,0.816220212,175,AR
ONA,NW,25/01/2003,21.07307692,0.891541448,26,AR
ONA,SE,26/01/2003,21.3195122,1.15699289,123,AR
ONA,CE,28/01/2003,21.07971014,0.579193077,69,AR
ONA,CW,28/01/2003,20.81866667,0.784017075,150,AR
ONA,SW,01/02/2003,21.21782946,1.124336583,129,AR
